Title,URL
smartbench_0001,https://www.youtube.com/watch?v=fVVAeFISp2c
smartbench_0002,https://www.youtube.com/watch?v=ayzKVfJX5Wg
smartbench_0003,https://www.youtube.com/watch?v=TJ3OahLUahw
smartbench_0004,https://www.youtube.com/watch?v=k9si1UG8uLc
smartbench_0005,https://www.youtube.com/watch?v=l5NFMDdYbM0
smartbench_0006,https://www.youtube.com/watch?v=U9qHetMzD4s
smartbench_0007,https://www.youtube.com/watch?v=GfNH24LsSh8
smartbench_0008,https://www.youtube.com/watch?v=bIyAGCc3RD8
smartbench_0009,https://www.youtube.com/watch?v=Ym9pPECNQyY
smartbench_0010,https://www.youtube.com/watch?v=QNbsdpgb2YI
smartbench_0011,https://www.youtube.com/watch?v=sZ9ij4A0REg
smartbench_0012,https://www.youtube.com/watch?v=gI4oK4azztc
smartbench_0013,https://www.youtube.com/watch?v=deamYHz7Sno
smartbench_0014,https://www.youtube.com/watch?v=kAK6qLCbZ4k
smartbench_0015,https://www.youtube.com/watch?v=bUbXnWYDjmA
smartbench_0016,https://www.youtube.com/watch?v=ufjOxeZ-FNw
smartbench_0017,https://www.youtube.com/watch?v=sr1VLgBYMNs
smartbench_0018,https://www.youtube.com/watch?v=Ep3sf3jD8E8
smartbench_0019,https://www.youtube.com/watch?v=b92shV0BbhM
smartbench_0020,https://www.youtube.com/watch?v=LINEK1p4-1U
smartbench_0021,https://www.youtube.com/watch?v=QVGxK7X2mUo
smartbench_0022,https://www.youtube.com/watch?v=iF3N61nr6JA
smartbench_0023,https://www.youtube.com/watch?v=_zLhytipIQU
smartbench_0024,https://www.youtube.com/watch?v=bBgevdp5DKM
smartbench_0025,https://www.youtube.com/watch?v=TNDtycEzUYo
smartbench_0026,https://www.youtube.com/watch?v=XXrIIU-Org0
smartbench_0027,https://www.youtube.com/watch?v=Xlp3FZyYuK8
smartbench_0028,https://www.youtube.com/watch?v=GqWCH3AcRII
smartbench_0029,https://www.youtube.com/watch?v=jX7wSFVuStI
smartbench_0030,https://www.youtube.com/watch?v=YhSSxNNkeL0
smartbench_0031,https://www.youtube.com/watch?v=Z__Wg1fMXMA
smartbench_0032,https://www.youtube.com/watch?v=jFNyxIdqD1o
smartbench_0033,https://www.youtube.com/watch?v=z-TMWr0axSo
smartbench_0034,https://www.youtube.com/watch?v=_yp-l9ywvPU
smartbench_0035,https://www.youtube.com/watch?v=3XBBQlR21rY
smartbench_0036,https://www.youtube.com/watch?v=c4BiMNV5dME
smartbench_0037,https://www.youtube.com/watch?v=dZU47xjMPfc
smartbench_0038,https://www.youtube.com/watch?v=1OsGAAGe6CA
smartbench_0039,https://www.youtube.com/watch?v=L7s4QL9fozo
smartbench_0040,https://www.youtube.com/watch?v=UuDW7Zvm5Gg
smartbench_0041,https://www.youtube.com/watch?v=P7UGtwg7C4I
smartbench_0042,https://www.youtube.com/watch?v=Mh1EgnB1DmQ
smartbench_0043,https://www.youtube.com/watch?v=IUW21JpYPPE
smartbench_0044,https://www.youtube.com/watch?v=Q_0WEIZVc28
smartbench_0045,https://www.youtube.com/watch?v=7IwZMmTWoKM
smartbench_0046,https://www.youtube.com/watch?v=LLxrNx-Wkq4
smartbench_0047,https://www.youtube.com/watch?v=yb9pu5uickk
smartbench_0048,https://www.youtube.com/watch?v=tyBhNSRzOGI
smartbench_0049,https://www.youtube.com/watch?v=anH1uE2j7Qw
smartbench_0050,https://www.youtube.com/watch?v=whDxqUY7Pok
smartbench_0051,https://www.youtube.com/watch?v=rGP9bXOrMZU
smartbench_0052,https://www.youtube.com/watch?v=Y8ghImmBjlM
smartbench_0053,https://www.youtube.com/watch?v=jsuqBMVeyeo
smartbench_0054,https://www.youtube.com/watch?v=E-KX42Baw18
smartbench_0055,https://www.youtube.com/watch?v=Fgq6XQUEK4I
smartbench_0056,https://www.youtube.com/watch?v=-k64PIAB3Hw
smartbench_0057,https://www.youtube.com/watch?v=YSlCea9IOt8
smartbench_0058,https://www.youtube.com/watch?v=TnjOgP6IvU8
smartbench_0059,https://www.youtube.com/watch?v=pPsjT_lvATQ
smartbench_0060,https://www.youtube.com/watch?v=ogx7uoRRpNo
smartbench_0061,https://www.youtube.com/watch?v=XuzHCZdubJE
smartbench_0062,https://www.youtube.com/watch?v=mBMPOdZYdb0
smartbench_0063,https://www.youtube.com/watch?v=BnD3b20QZDQ
